candidate_id,candidate_index,real_tanh_autodiff_divergence_rms,real_tanh_autodiff_energy_relative_rmse,real_tanh_autodiff_loss,real_tanh_autodiff_pressure_mean_max_abs,real_tanh_autodiff_pressure_rel_error,real_tanh_autodiff_rel_error,real_tanh_autodiff_status,real_tanh_autodiff_steps,real_tanh_autodiff_velocity_rel_error,war_divergence_rms,war_energy_relative_rmse,war_loss,war_pressure_mean_max_abs,war_pressure_rel_error,war_rel_error,war_status,war_steps,war_velocity_rel_error,weight_labels,weight_map,weights
point_020,20,0.0006152039277367294,0.9999837875366211,0.02568923309445381,0.0025164675898849964,0.9998615384101868,1.000195026397705,complete,288,1.000195026397705,5.1487910241121426e-05,0.9999883770942688,0.025158466771245003,8.098523539956659e-05,0.9999977350234985,0.9999673366546631,complete,1081,0.9999673366546631,"[""1e-1"", ""1e+3""]","{""lambda_bc"": 1000.0, ""lambda_ic"": 0.1}","[0.1, 1000.0]"
point_021,21,0.041477054357528687,0.5051732063293457,0.07105616480112076,0.002068158471956849,0.9985514283180237,0.39053499698638916,complete,271,0.39053499698638916,0.010487541556358337,0.033416494727134705,0.0016779399011284113,0.007679141126573086,0.12876443564891815,0.048023875802755356,complete,1094,0.048023875802755356,"[""1e+0"", ""1e-3""]","{""lambda_bc"": 0.001, ""lambda_ic"": 1.0}","[1.0, 0.001]"
point_022,22,0.04136720672249794,0.5068001747131348,0.0665380135178566,0.0010509894927963614,0.9965084195137024,0.3875635862350464,complete,276,0.3875635862350464,0.009819607250392437,0.031150300055742264,0.0021364674903452396,0.0038718872237950563,0.12578453123569489,0.04352318122982979,complete,1081,0.04352318122982979,"[""1e+0"", ""1e-2""]","{""lambda_bc"": 0.01, ""lambda_ic"": 1.0}","[1.0, 0.01]"
point_023,23,0.0412769690155983,0.5193068385124207,0.07202742248773575,0.0014384753303602338,0.9980032444000244,0.3972451984882355,complete,275,0.3972451984882355,0.01000258419662714,0.03902469202876091,0.002854590769857168,0.010258855298161507,0.12022893130779266,0.032484445720911026,complete,1119,0.032484445720911026,"[""1e+0"", ""1e-1""]","{""lambda_bc"": 0.1, ""lambda_ic"": 1.0}","[1.0, 0.1]"
point_024,24,0.04869284853339195,0.7066855430603027,0.13762721419334412,0.0009234233293682337,1.0002614259719849,0.6613559126853943,complete,285,0.6613559126853943,0.02506445348262787,0.09320158511400223,0.0041638026013970375,0.009541129693388939,0.19184544682502747,0.058322545140981674,complete,1086,0.058322545140981674,"[""1e+0"", ""1e+0""]","{""lambda_bc"": 1.0, ""lambda_ic"": 1.0}","[1.0, 1.0]"
point_025,25,0.0025604332331568003,0.9997338056564331,0.24233895540237427,0.0012101293541491032,1.0000898838043213,0.992425262928009,complete,282,0.992425262928009,0.021604228764772415,0.4696904122829437,0.11834144592285156,0.0004441052151378244,0.9996951818466187,0.6935659050941467,complete,1084,0.6935659050941467,"[""1e+0"", ""1e+1""]","{""lambda_bc"": 10.0, ""lambda_ic"": 1.0}","[1.0, 10.0]"
point_026,26,0.001229836605489254,0.9999030232429504,0.2520323097705841,0.0020017027854919434,1.0001044273376465,0.9991191625595093,complete,288,0.9991191625595093,0.0005388743593357503,0.9998485445976257,0.24553337693214417,0.00020029528241138905,1.000005841255188,0.9990811347961426,complete,1084,0.9990811347961426,"[""1e+0"", ""1e+2""]","{""lambda_bc"": 100.0, ""lambda_ic"": 1.0}","[1.0, 100.0]"
point_027,27,0.0006837575929239392,0.9999725222587585,0.24864014983177185,0.0025965766981244087,0.9999034404754639,1.0000672340393066,complete,272,1.0000672340393066,0.0001223697909153998,0.9998639822006226,0.24082708358764648,0.00013358199794311076,0.9999988675117493,0.9997942447662354,complete,1075,0.9997942447662354,"[""1e+0"", ""1e+3""]","{""lambda_bc"": 1000.0, ""lambda_ic"": 1.0}","[1.0, 1000.0]"
point_028,28,0.09012047946453094,0.13805614411830902,0.24262599647045135,0.004514168482273817,1.000322699546814,0.23101751506328583,complete,272,0.23101751506328583,0.032533593475818634,0.12199575453996658,0.028266260400414467,0.003392643528059125,0.6993264555931091,0.1527983695268631,complete,1088,0.1527983695268631,"[""1e+1"", ""1e-3""]","{""lambda_bc"": 0.001, ""lambda_ic"": 10.0}","[10.0, 0.001]"
point_029,29,0.09122421592473984,0.1423988789319992,0.2455456554889679,0.004136274568736553,0.9970338344573975,0.22910183668136597,complete,288,0.22910183668136597,0.03218456357717514,0.1059158593416214,0.023090951144695282,0.011189917102456093,0.6064106822013855,0.13324694335460663,complete,1132,0.13324694335460663,"[""1e+1"", ""1e-2""]","{""lambda_bc"": 0.01, ""lambda_ic"": 10.0}","[10.0, 0.01]"
