elapsed_seconds,loss_max,loss_median,loss_min,loss_q25,loss_q75,method,method_label,rel_error_max,rel_error_median,rel_error_min,rel_error_q25,rel_error_q75,task_id,task_label
600.0,5.208787862710417e-05,4.058496886206043e-05,3.4475808835245774e-05,3.744991227421625e-05,4.360404902939627e-05,war,WAR (complex64),0.025758926434826687,0.012858648383726058,0.01194138060293978,0.012218931869998593,0.023640671242660234,cahn_hilliard_2d_o6,CH6
605.0,4.407735287774031e-05,4.3126795318826e-05,3.2676841209354965e-05,3.2754384240510854e-05,4.319556912249556e-05,war,WAR (complex64),0.02463440170884352,0.01382302720577175,0.01043581885826847,0.01346086987929353,0.01970535600946393,cahn_hilliard_2d_o6,CH6
610.0,4.062064118312349e-05,3.679383283771877e-05,3.2013955490108204e-05,3.384201038115697e-05,3.7602352406571694e-05,war,WAR (complex64),0.02336170846334509,0.012312731301855947,0.009474540444411424,0.01205376910485045,0.019084655508305112,cahn_hilliard_2d_o6,CH6
615.0,6.656930693616228e-05,3.7497756109756413e-05,2.901606228449063e-05,3.71868197496979e-05,3.9448799875360675e-05,war,WAR (complex64),0.022735095415953144,0.013331931130969006,0.009597438076680752,0.009922482657735276,0.018986484587894842,cahn_hilliard_2d_o6,CH6
620.0,3.754125799272372e-05,3.577448970070796e-05,2.5877643679138524e-05,3.057523236969271e-05,3.61164416573234e-05,war,WAR (complex64),0.021741039704578843,0.012195008932617305,0.009587891681373929,0.011544124889980717,0.017532344266154583,cahn_hilliard_2d_o6,CH6
625.0,5.859179507074181e-05,3.627868297964815e-05,2.6341654551195398e-05,3.244037227818822e-05,4.032919696342416e-05,war,WAR (complex64),0.021623788485909613,0.015401415207590008,0.010208354784033393,0.011544982660430877,0.015676331345916686,cahn_hilliard_2d_o6,CH6
630.0,3.434216996414114e-05,3.119720661308222e-05,2.4279773069192475e-05,3.037697713855439e-05,3.2476873892867405e-05,war,WAR (complex64),0.020685708915057277,0.012628509704653226,0.009310453076195515,0.012116455995104266,0.015660197613973435,cahn_hilliard_2d_o6,CH6
635.0,5.2017802500792076e-05,3.5775219020835074e-05,2.3173711091460813e-05,3.055211348059692e-05,3.592693682056232e-05,war,WAR (complex64),0.020096401622433698,0.01269420685035587,0.008840770825782595,0.00977938675732081,0.01904909901810384,cahn_hilliard_2d_o6,CH6
640.0,4.278884788111774e-05,3.503296569735263e-05,2.086586771860522e-05,3.133563859195578e-05,3.561976899235434e-05,war,WAR (complex64),0.019243745166193066,0.013330273828079667,0.009091606495401788,0.012305063767579012,0.015484227406358061,cahn_hilliard_2d_o6,CH6
645.0,0.03169461528338575,3.106620405749268e-05,2.0224243304919945e-05,2.8452106891317478e-05,3.632087973870573e-05,war,WAR (complex64),0.07555801625589946,0.014797145666328542,0.010405892710552216,0.0117687354758263,0.019197623560651293,cahn_hilliard_2d_o6,CH6
