task_id,variant,time_s,median_l2,q25_l2,q75_l2,median_best_l2,q25_best_l2,q75_best_l2,n_seeds
poly_d2_o4,complex_sinh,791.188022,1.3903256765e-02,1.3344875097e-02,1.4102439695e-02,1.3903256765e-02,1.3344875097e-02,1.4102439695e-02,5
poly_d2_o4,complex_sinh,797.893006,1.3651833678e-02,1.3175819115e-02,1.3842885362e-02,1.3651833678e-02,1.3175819115e-02,1.3842885362e-02,5
poly_d2_o4,complex_sinh,804.597989,1.3408552927e-02,1.3011167875e-02,1.3589988917e-02,1.3408552927e-02,1.3011167875e-02,1.3589988917e-02,5
poly_d2_o4,complex_sinh,811.302972,1.3173194661e-02,1.2850631293e-02,1.3343426799e-02,1.3173194661e-02,1.2850631293e-02,1.3343426799e-02,5
poly_d2_o4,complex_sinh,818.007955,1.2945753342e-02,1.2693974519e-02,1.3103295590e-02,1.2945753342e-02,1.2693974519e-02,1.3103295590e-02,5
poly_d2_o4,complex_sinh,824.712939,1.2725254705e-02,1.2541425208e-02,1.2869274882e-02,1.2725254705e-02,1.2541425208e-02,1.2869274882e-02,5
poly_d2_o4,complex_sinh,831.417922,1.2511824201e-02,1.2392565586e-02,1.2641194151e-02,1.2511824201e-02,1.2392565586e-02,1.2641194151e-02,5
poly_d2_o4,complex_sinh,838.122905,1.2305146161e-02,1.2247487669e-02,1.2419250862e-02,1.2305146161e-02,1.2247487669e-02,1.2419250862e-02,5
poly_d2_o4,complex_sinh,844.827888,1.2106144842e-02,1.2104820821e-02,1.2202940368e-02,1.2106144842e-02,1.2104820821e-02,1.2202940368e-02,5
poly_d2_o4,complex_sinh,851.532872,1.1968195840e-02,1.1911240901e-02,1.1992272538e-02,1.1968195840e-02,1.1911240901e-02,1.1992272538e-02,5
poly_d2_o4,complex_sinh,858.237855,1.1787180967e-02,1.1753837997e-02,1.1833935294e-02,1.1787180967e-02,1.1723398128e-02,1.1833935294e-02,5
poly_d2_o4,complex_sinh,864.942838,1.1703026569e-02,1.1587295520e-02,1.1706662388e-02,1.1671123233e-02,1.1587295520e-02,1.1703026569e-02,5
poly_d2_o4,complex_sinh,871.647821,1.1575363588e-02,1.1392859425e-02,1.1659387835e-02,1.1575363588e-02,1.1392859425e-02,1.1659387835e-02,5
poly_d2_o4,complex_sinh,878.352804,1.1451117273e-02,1.1203411222e-02,1.1612107245e-02,1.1451117273e-02,1.1203411222e-02,1.1612107245e-02,5
poly_d2_o4,complex_sinh,885.057788,1.1329863361e-02,1.1028678310e-02,1.1564858589e-02,1.1329863361e-02,1.1028678310e-02,1.1564858589e-02,5
poly_d2_o4,complex_sinh,891.762771,1.1211747372e-02,1.0868040758e-02,1.1517660283e-02,1.1211747372e-02,1.0868040758e-02,1.1517660283e-02,5
poly_d2_o4,complex_sinh,898.467754,1.1096663055e-02,1.0712161702e-02,1.1470575653e-02,1.1096663055e-02,1.0712161702e-02,1.1470575653e-02,5
poly_d2_o4,complex_sinh,905.172737,1.0984381255e-02,1.0561119996e-02,1.1423631239e-02,1.0984381255e-02,1.0561119996e-02,1.1423631239e-02,5
poly_d2_o4,complex_sinh,911.877721,1.0875081170e-02,1.0414350814e-02,1.1376863413e-02,1.0875081170e-02,1.0414350814e-02,1.1376863413e-02,5
poly_d2_o4,complex_sinh,918.582704,1.0768469483e-02,1.0271987733e-02,1.1330204591e-02,1.0768469483e-02,1.0271987733e-02,1.1330204591e-02,5
poly_d2_o4,complex_sinh,925.287687,1.0664548597e-02,1.0133798594e-02,1.1283712901e-02,1.0664548597e-02,1.0133798594e-02,1.1283712901e-02,5
poly_d2_o4,complex_sinh,931.992670,1.0563382977e-02,9.9994375736e-03,1.1237474333e-02,1.0563382977e-02,9.9994375736e-03,1.1237474333e-02,5
poly_d2_o4,complex_sinh,938.697654,1.0464595924e-02,9.8693364754e-03,1.1191513544e-02,1.0464595924e-02,9.8693364754e-03,1.1191513544e-02,5
poly_d2_o4,complex_sinh,945.402637,1.0368470396e-02,9.7431141287e-03,1.1145861423e-02,1.0368470396e-02,9.7431141287e-03,1.1145861423e-02,5
poly_d2_o4,complex_sinh,952.107620,1.0274601435e-02,9.6204240122e-03,1.1100526555e-02,1.0274601435e-02,9.6204240122e-03,1.1100526555e-02,5
poly_d2_o4,complex_sinh,958.812603,1.0182958614e-02,9.5012757719e-03,1.1055542485e-02,1.0182958614e-02,9.5012757719e-03,1.1055542485e-02,5
poly_d2_o4,complex_sinh,965.517587,1.0093709581e-02,9.3852461179e-03,1.1010922377e-02,1.0093709581e-02,9.3852461179e-03,1.1010922377e-02,5
poly_d2_o4,complex_sinh,972.222570,1.0006568842e-02,9.2725099441e-03,1.0966628519e-02,1.0006568842e-02,9.2725099441e-03,1.0966628519e-02,5
