task_id,ranking,rank,candidate_id,candidate_index,geometric_mean,max_error,mean_error,real_tanh_autodiff_rel_error,war_rel_error,weight_labels,weight_map,weight_sum,weights
poly_d2_o6,realad,3,point_054,54,0.5081084865308563,0.5167141502229305,0.5081801484425237,0.49964614666211676,0.5167141502229305,"[""1e-2"", ""1e-3"", ""1e+2""]","{""w_Delta2_u"": 100.0, ""w_Delta_u"": 0.001, ""w_u"": 0.01}",100.011,"[0.01, 0.001, 100.0]"
poly_d2_o6,realad,4,point_074,74,0.31727175919540496,0.5834054948450841,0.37797324887683187,0.5834054948450841,0.17254100290857968,"[""1e-2"", ""1e+0"", ""1e+1""]","{""w_Delta2_u"": 10.0, ""w_Delta_u"": 1.0, ""w_u"": 0.01}",11.01,"[0.01, 1.0, 10.0]"
poly_d2_o6,realad,5,point_106,106,0.30302208992613405,0.6228811521095802,0.3851483665957441,0.6228811521095802,0.147415581081908,"[""1e-1"", ""1e-2"", ""1e-2""]","{""w_Delta2_u"": 0.01, ""w_Delta_u"": 0.01, ""w_u"": 0.1}",0.12,"[0.1, 0.01, 0.01]"
poly_d2_o6,realad,6,point_099,99,0.30947690146270884,0.6229409668493877,0.3883445033044263,0.6229409668493877,0.15374803975946497,"[""1e-1"", ""1e-3"", ""1e-2""]","{""w_Delta2_u"": 0.01, ""w_Delta_u"": 0.001, ""w_u"": 0.1}",0.111,"[0.1, 0.001, 0.01]"
poly_d2_o6,realad,7,point_100,100,0.2824662312414924,0.6229754347152121,0.3755248906919337,0.6229754347152121,0.12807434666865522,"[""1e-1"", ""1e-3"", ""1e-1""]","{""w_Delta2_u"": 0.1, ""w_Delta_u"": 0.001, ""w_u"": 0.1}",0.201,"[0.1, 0.001, 0.1]"
poly_d2_o6,realad,8,point_101,101,0.2394039936430374,0.6254060679831412,0.358524681003301,0.6254060679831412,0.09164329402346075,"[""1e-1"", ""1e-3"", ""1e+0""]","{""w_Delta2_u"": 1.0, ""w_Delta_u"": 0.001, ""w_u"": 0.1}",1.101,"[0.1, 0.001, 1.0]"
poly_d2_o6,realad,9,point_098,98,0.31461436285724265,0.6281358694840931,0.3928583701595986,0.6281358694840931,0.15758087083510422,"[""1e-1"", ""1e-3"", ""1e-3""]","{""w_Delta2_u"": 0.001, ""w_Delta_u"": 0.001, ""w_u"": 0.1}",0.10200000000000001,"[0.1, 0.001, 0.001]"
poly_d2_o6,realad,10,point_108,108,0.2373175872694733,0.6284368066137445,0.35902771160540714,0.6284368066137445,0.08961861659706982,"[""1e-1"", ""1e-2"", ""1e+0""]","{""w_Delta2_u"": 1.0, ""w_Delta_u"": 0.01, ""w_u"": 0.1}",1.11,"[0.1, 0.01, 1.0]"
poly_d2_o6,shared_geomean,1,point_115,115,0.22015061991615276,0.6292340894264729,0.3531291789601602,0.6292340894264729,0.0770242684938476,"[""1e-1"", ""1e-1"", ""1e+0""]","{""w_Delta2_u"": 1.0, ""w_Delta_u"": 0.1, ""w_u"": 0.1}",1.2,"[0.1, 0.1, 1.0]"
poly_d2_o6,shared_geomean,2,point_122,122,0.22810132948342302,0.6858665959617745,0.38086357248211467,0.6858665959617745,0.07586054900245487,"[""1e-1"", ""1e+0"", ""1e+0""]","{""w_Delta2_u"": 1.0, ""w_Delta_u"": 1.0, ""w_u"": 0.1}",2.1,"[0.1, 1.0, 1.0]"
poly_d2_o6,shared_geomean,3,point_108,108,0.2373175872694733,0.6284368066137445,0.35902771160540714,0.6284368066137445,0.08961861659706982,"[""1e-1"", ""1e-2"", ""1e+0""]","{""w_Delta2_u"": 1.0, ""w_Delta_u"": 0.01, ""w_u"": 0.1}",1.11,"[0.1, 0.01, 1.0]"
poly_d2_o6,shared_geomean,4,point_101,101,0.2394039936430374,0.6254060679831412,0.358524681003301,0.6254060679831412,0.09164329402346075,"[""1e-1"", ""1e-3"", ""1e+0""]","{""w_Delta2_u"": 1.0, ""w_Delta_u"": 0.001, ""w_u"": 0.1}",1.101,"[0.1, 0.001, 1.0]"
poly_d2_o6,shared_geomean,5,point_121,121,0.2483839614079322,0.6839410509970626,0.38707279870961986,0.6839410509970626,0.09020454642217714,"[""1e-1"", ""1e+0"", ""1e-1""]","{""w_Delta2_u"": 0.1, ""w_Delta_u"": 1.0, ""w_u"": 0.1}",1.2000000000000002,"[0.1, 1.0, 0.1]"
poly_d2_o6,shared_geomean,6,point_220,220,0.24900402659556434,0.9995401934223066,0.530785860593801,0.9995401934223066,0.06203152776529537,"[""1e+1"", ""1e+0"", ""1e+0""]","{""w_Delta2_u"": 1.0, ""w_Delta_u"": 1.0, ""w_u"": 10.0}",12.0,"[10.0, 1.0, 1.0]"
poly_d2_o6,shared_geomean,7,point_114,114,0.2579793996809273,0.6333220690562505,0.36920410377479357,0.6333220690562505,0.10508613849333659,"[""1e-1"", ""1e-1"", ""1e-1""]","{""w_Delta2_u"": 0.1, ""w_Delta_u"": 0.1, ""w_u"": 0.1}",0.30000000000000004,"[0.1, 0.1, 0.1]"
poly_d2_o6,shared_geomean,8,point_213,213,0.26136272202954236,0.9995417972147012,0.5339417920392431,0.9995417972147012,0.06834178686378511,"[""1e+1"", ""1e-1"", ""1e+0""]","{""w_Delta2_u"": 1.0, ""w_Delta_u"": 0.1, ""w_u"": 10.0}",11.1,"[10.0, 0.1, 1.0]"
poly_d2_o6,shared_geomean,9,point_120,120,0.2614371630977463,0.6835919120435919,0.3917887873034503,0.6835919120435919,0.0999856625633087,"[""1e-1"", ""1e+0"", ""1e-2""]","{""w_Delta2_u"": 0.01, ""w_Delta_u"": 1.0, ""w_u"": 0.1}",1.11,"[0.1, 1.0, 0.01]"
poly_d2_o6,shared_geomean,10,point_119,119,0.2640980053175298,0.683795797400689,0.39289832651653606,0.683795797400689,0.10200085563238315,"[""1e-1"", ""1e+0"", ""1e-3""]","{""w_Delta2_u"": 0.001, ""w_Delta_u"": 1.0, ""w_u"": 0.1}",1.101,"[0.1, 1.0, 0.001]"
poly_d2_o6,shared_minimax,1,point_068,68,0.48666039724384336,0.4872189083730692,0.48666071736142924,0.4861025263497893,0.4872189083730692,"[""1e-2"", ""1e-1"", ""1e+2""]","{""w_Delta2_u"": 100.0, ""w_Delta_u"": 0.1, ""w_u"": 0.01}",100.11,"[0.01, 0.1, 100.0]"
poly_d2_o6,shared_minimax,2,point_061,61,0.5062296532283317,0.5133635820180782,0.5062792213529123,0.49919486068774627,0.5133635820180782,"[""1e-2"", ""1e-2"", ""1e+2""]","{""w_Delta2_u"": 100.0, ""w_Delta_u"": 0.01, ""w_u"": 0.01}",100.02,"[0.01, 0.01, 100.0]"
poly_d2_o6,shared_minimax,3,point_054,54,0.5081084865308563,0.5167141502229305,0.5081801484425237,0.49964614666211676,0.5167141502229305,"[""1e-2"", ""1e-3"", ""1e+2""]","{""w_Delta2_u"": 100.0, ""w_Delta_u"": 0.001, ""w_u"": 0.01}",100.011,"[0.01, 0.001, 100.0]"
poly_d2_o6,shared_minimax,4,point_074,74,0.31727175919540496,0.5834054948450841,0.37797324887683187,0.5834054948450841,0.17254100290857968,"[""1e-2"", ""1e+0"", ""1e+1""]","{""w_Delta2_u"": 10.0, ""w_Delta_u"": 1.0, ""w_u"": 0.01}",11.01,"[0.01, 1.0, 10.0]"
