panel,variant,time_s,median_l2,q25_l2,q75_l2,median_best_l2,q25_best_l2,q75_best_l2,n_seeds
chirp_a2,complex_sinh,378.802514,2.2463662682e-04,1.5602442243e-04,2.8337205037e-04,1.2014102989e-04,1.1882991002e-04,1.2752524506e-04,5
chirp_a2,complex_sinh,382.154749,1.7288412078e-04,1.4825173440e-04,4.4743936805e-04,1.1916947227e-04,1.1592154879e-04,1.2752524506e-04,5
chirp_a2,complex_sinh,385.506983,2.5669600860e-04,2.2313362818e-04,2.9556574705e-04,1.1592154879e-04,1.1588353926e-04,1.1883964274e-04,5
chirp_a2,complex_sinh,388.859218,3.0415211392e-04,1.7279097404e-04,8.2642642825e-04,1.1592154879e-04,1.1283308251e-04,1.1883964274e-04,5
chirp_a2,complex_sinh,392.211453,2.1897561015e-04,1.8496673787e-04,9.7056580380e-04,1.1592154879e-04,1.1212359892e-04,1.1883964274e-04,5
chirp_a2,complex_sinh,395.563687,3.5105621524e-04,1.5421370611e-04,4.2296987614e-04,1.1592154879e-04,1.1053140128e-04,1.1883964274e-04,5
chirp_a2,complex_sinh,398.915922,1.4796353566e-04,1.2333385877e-04,2.4504862631e-04,1.1388888861e-04,1.0934666253e-04,1.1883964274e-04,5
chirp_a2,complex_sinh,402.268156,2.4063196907e-04,1.1336064332e-04,2.4815850748e-04,1.0974733633e-04,1.0911821823e-04,1.1883964274e-04,5
chirp_a2,complex_sinh,405.620391,1.4745799991e-04,1.2606739373e-04,2.2231907376e-04,1.0892153161e-04,1.0699696060e-04,1.1868060740e-04,5
chirp_a2,complex_sinh,408.972626,1.6020409661e-04,1.1715288232e-04,2.1225336745e-04,1.0892153161e-04,1.0699696060e-04,1.1787659861e-04,5
chirp_a2,complex_sinh,412.324860,1.2490264677e-04,1.2139804288e-04,2.8642255054e-04,1.0892153161e-04,1.0679422601e-04,1.1711290780e-04,5
chirp_a2,complex_sinh,415.677095,1.6155366957e-04,1.1479475829e-04,1.7881069600e-04,1.0653199020e-04,1.0545515652e-04,1.1711290780e-04,5
chirp_a2,complex_sinh,419.029330,1.0527692506e-04,1.0484239489e-04,1.5052172495e-04,1.0416120161e-04,1.0413287734e-04,1.1711290780e-04,5
chirp_a2,complex_sinh,422.381564,1.4130807031e-04,1.0310649730e-04,2.3019852711e-04,1.0411576153e-04,1.0310649730e-04,1.1308798767e-04,5
chirp_a2,complex_sinh,425.733799,1.3483695448e-04,1.0231387360e-04,1.4044445589e-04,1.0411576153e-04,1.0231387360e-04,1.0873336965e-04,5
chirp_a2,complex_sinh,429.086034,1.3958611952e-04,1.0735487593e-04,1.4886208716e-04,1.0411576153e-04,1.0159426713e-04,1.0735487593e-04,5
chirp_a2,complex_sinh,432.438268,1.3876980466e-04,1.0699749028e-04,2.5054221509e-04,1.0411576153e-04,1.0091068789e-04,1.0699749028e-04,5
