candidate_id,candidate_index,real_sinh_autodiff_loss,real_sinh_autodiff_mass_drift_rms,real_sinh_autodiff_rel_error,real_sinh_autodiff_status,real_sinh_autodiff_steps,war_loss,war_mass_drift_rms,war_rel_error,war_status,war_steps,weight_labels,weight_map,weights
point_010,10,0.4105396866798401,0.08049456030130386,1.2260582447052002,complete,120,0.0012486762134358287,0.014196459203958511,0.14552395045757294,complete,803,"[""1e-2"", ""1e+0""]","{""lambda_bc"": 1.0, ""lambda_ic"": 0.01}","[0.01, 1.0]"
point_011,11,0.45891135931015015,0.0700676366686821,1.1783215999603271,complete,125,0.0014188543427735567,0.014562372118234634,0.14942170679569244,complete,791,"[""1e-2"", ""1e+1""]","{""lambda_bc"": 10.0, ""lambda_ic"": 0.01}","[0.01, 10.0]"
point_012,12,0.4080677032470703,0.04932818561792374,1.0330616235733032,complete,122,0.0026349062100052834,0.002085608197376132,0.11886978149414062,complete,794,"[""1e-2"", ""1e+2""]","{""lambda_bc"": 100.0, ""lambda_ic"": 0.01}","[0.01, 100.0]"
point_013,13,0.43603795766830444,0.008560629561543465,0.998123288154602,complete,122,0.021687155589461327,0.1792294979095459,1.1670891046524048,complete,807,"[""1e-2"", ""1e+3""]","{""lambda_bc"": 1000.0, ""lambda_ic"": 0.01}","[0.01, 1000.0]"
point_014,14,0.35629791021347046,0.014661655761301517,1.2191790342330933,complete,124,0.0012239301577210426,0.006608404219150543,0.12802016735076904,complete,789,"[""1e-1"", ""1e-3""]","{""lambda_bc"": 0.001, ""lambda_ic"": 0.1}","[0.1, 0.001]"
point_015,15,0.40216732025146484,0.015291756018996239,1.2390618324279785,complete,120,0.0012102395994588733,0.008200672455132008,0.09980466216802597,complete,789,"[""1e-1"", ""1e-2""]","{""lambda_bc"": 0.01, ""lambda_ic"": 0.1}","[0.1, 0.01]"
point_016,16,0.3296443819999695,0.023639582097530365,1.2268701791763306,complete,122,0.0013046993408352137,0.009148440323770046,0.1145617663860321,complete,804,"[""1e-1"", ""1e-1""]","{""lambda_bc"": 0.1, ""lambda_ic"": 0.1}","[0.1, 0.1]"
point_017,17,0.4100727438926697,0.019979199394583702,1.208097219467163,complete,123,0.0014785684179514647,0.009720364585518837,0.12394436448812485,complete,785,"[""1e-1"", ""1e+0""]","{""lambda_bc"": 1.0, ""lambda_ic"": 0.1}","[0.1, 1.0]"
point_018,18,0.3693857491016388,0.03250467777252197,1.1516932249069214,complete,119,0.0013902984792366624,0.01077498309314251,0.1438991278409958,complete,796,"[""1e-1"", ""1e+1""]","{""lambda_bc"": 10.0, ""lambda_ic"": 0.1}","[0.1, 10.0]"
point_019,19,0.5248206853866577,0.01805618219077587,1.0066211223602295,complete,121,0.0025513088330626488,0.0012873840751126409,0.11820629984140396,complete,786,"[""1e-1"", ""1e+2""]","{""lambda_bc"": 100.0, ""lambda_ic"": 0.1}","[0.1, 100.0]"
