task,candidate,lambda_ic,lambda_bc,war_rel_error,ad_rel_error,war_loss,ad_loss,war_steps,ad_steps,war_ms_per_step,ad_ms_per_step,war_peak_mb,ad_peak_mb,geomean,minimax,mean_error
strain_gradient_plate_2d_o6,point_020,0.1,1000.0,0.9998095631599426,0.9995824694633484,0.9090300798416138,0.8807070851325989,853,151,70.35091665878036,398.08219160563897,1972.509765625,4984.68310546875,0.9996960098632419,0.9998095631599426,0.9996960163116455
strain_gradient_plate_2d_o6,point_021,1.0,0.001,1.379170298576355,1.1242804527282715,0.0012453628005459905,0.6318058967590332,844,151,71.09869122990712,398.71703401602656,1972.509765625,4984.68310546875,1.2452205457961292,1.379170298576355,1.2517253756523132
strain_gradient_plate_2d_o6,point_022,1.0,0.01,0.8162838220596313,1.1086342334747314,0.0013173706829547882,0.6296340227127075,846,149,70.92310216313065,403.247797511668,1972.509765625,4984.68310546875,0.9512939552876931,1.1086342334747314,0.9624590277671814
strain_gradient_plate_2d_o6,point_023,1.0,0.1,0.16127213835716248,0.9603005051612854,0.0023336298763751984,0.6779167652130127,849,146,70.72934465542068,411.0775331979337,1972.509765625,4984.68310546875,0.39353489798596497,0.9603005051612854,0.5607863217592239
strain_gradient_plate_2d_o6,point_024,1.0,1.0,0.0476384162902832,0.72634357213974,0.000708695559296757,0.6796229481697083,857,148,70.05942874786943,407.1821030355184,1972.509765625,4984.68310546875,0.18601574519207853,0.72634357213974,0.3869909942150116
strain_gradient_plate_2d_o6,point_025,1.0,10.0,0.21270564198493958,0.848641037940979,0.030602648854255676,0.9192842841148376,869,147,69.05451547933187,410.1235084235668,1972.509765625,4984.68310546875,0.4248655514277445,0.848641037940979,0.5306733399629593
strain_gradient_plate_2d_o6,point_026,1.0,100.0,0.9798149466514587,0.9776189923286438,0.9578657746315002,0.9130812883377075,853,149,70.4131058645451,404.7338345881877,1972.509765625,4984.68310546875,0.9787163536050386,0.9798149466514587,0.9787169694900513
strain_gradient_plate_2d_o6,point_027,1.0,1000.0,0.9976963400840759,0.9972573518753052,0.9622485041618347,0.9409406781196594,857,150,70.03828550850844,401.2326654295127,1972.509765625,4984.68310546875,0.9974768218299258,0.9976963400840759,0.9974768459796906
strain_gradient_plate_2d_o6,point_028,10.0,0.001,2.241455078125,1.1982992887496948,0.004106918349862099,0.6361473798751831,856,146,70.14086668457941,413.10734119368334,1972.509765625,4984.68310546875,1.6388819438512279,2.241455078125,1.7198771834373474
strain_gradient_plate_2d_o6,point_029,10.0,0.01,1.9197827577590942,1.1982978582382202,0.005841301754117012,0.6230146884918213,846,147,70.9928167173661,409.4459497224109,1972.509765625,4984.68310546875,1.516730551846763,1.9197827577590942,1.5590403079986572
strain_gradient_plate_2d_o6,point_030,10.0,0.1,0.6290123462677002,1.1463048458099365,0.005556272342801094,0.5933624505996704,849,151,70.70849658383848,397.92809075373685,1972.509765625,4984.68310546875,0.8491406836331318,1.1463048458099365,0.8876585960388184
strain_gradient_plate_2d_o6,point_031,10.0,1.0,0.0328851081430912,0.7899788022041321,0.0013552429154515266,0.6204977631568909,869,153,69.10426223219744,394.409808579808,1972.509765625,4984.68310546875,0.161178591448221,0.7899788022041321,0.41143195517361164
strain_gradient_plate_2d_o6,point_032,10.0,10.0,0.02194339781999588,0.5341574549674988,0.0032553737983107567,0.8314458131790161,857,145,70.05711102177897,414.15576776810764,1972.509765625,4984.68310546875,0.10826462733907304,0.5341574549674988,0.27805042639374733
strain_gradient_plate_2d_o6,point_033,10.0,100.0,0.15520980954170227,0.848638653755188,0.037136007100343704,1.2797951698303223,842,147,71.2947269078707,408.82910867886886,1972.509765625,4984.68310546875,0.36292842795662805,0.848638653755188,0.5019242316484451
strain_gradient_plate_2d_o6,point_034,10.0,1000.0,0.9822428822517395,0.9748027324676514,1.4494566917419434,1.4284712076187134,853,147,70.36811445707593,410.8164940586909,1972.509765625,4984.68310546875,0.9785157359827675,0.9822428822517395,0.9785228073596954
strain_gradient_plate_2d_o6,point_035,100.0,0.001,1.6725407838821411,1.1960585117340088,0.013812001794576645,0.9711903929710388,854,148,70.33841576715125,407.82726388676343,1972.509765625,4984.68310546875,1.4143750000563875,1.6725407838821411,1.434299647808075
strain_gradient_plate_2d_o6,point_036,100.0,0.01,1.8055874109268188,1.1636595726013184,0.019026953727006912,0.9285586476325989,858,151,69.95682799559096,398.93795627582546,1972.509765625,4984.68310546875,1.4495133924505228,1.8055874109268188,1.4846234917640686
strain_gradient_plate_2d_o6,point_037,100.0,0.1,1.361649990081787,1.1830729246139526,0.019735680893063545,1.0148274898529053,858,146,69.98674915169988,411.1896228453476,1972.509765625,4984.68310546875,1.2692246594148018,1.361649990081787,1.2723614573478699
strain_gradient_plate_2d_o6,point_038,100.0,1.0,0.38580402731895447,0.9707874655723572,0.010604082606732845,0.9446282386779785,849,149,70.74185160237712,403.62702397592113,1972.509765625,4984.68310546875,0.6119915962564978,0.9707874655723572,0.6782957464456558
strain_gradient_plate_2d_o6,point_039,100.0,10.0,0.08860290050506592,0.6120103597640991,0.012260332703590393,1.135046362876892,855,147,70.2302970536794,408.9945592873153,1972.509765625,4984.68310546875,0.23286453790615708,0.6120103597640991,0.3503066301345825
strain_gradient_plate_2d_o6,point_040,100.0,100.0,0.10000474005937576,0.5761110186576843,0.033365897834300995,1.6838984489440918,846,147,70.93289751673984,408.9944262158911,1972.509765625,4984.68310546875,0.24002881632463194,0.5761110186576843,0.33805787935853004
strain_gradient_plate_2d_o6,point_041,100.0,1000.0,0.7057976722717285,0.8087636232376099,0.6561296582221985,4.108926296234131,856,150,70.11292856317188,401.26487374305725,1972.509765625,4984.68310546875,0.7555286114364924,0.8087636232376099,0.7572806477546692
strain_gradient_plate_2d_o6,point_042,1000.0,0.001,1.885330080986023,1.1888058185577393,0.3742011785507202,3.52068829536438,846,151,70.93319326559914,398.0723139614064,1972.509765625,4984.68310546875,1.497094309046066,1.885330080986023,1.537067949771881
strain_gradient_plate_2d_o6,point_043,1000.0,0.01,1.9680075645446777,1.2086793184280396,0.3046455383300781,3.5417652130126953,845,147,71.0391610442005,410.45182204621585,1972.509765625,4984.68310546875,1.5423002437188056,1.9680075645446777,1.5883434414863586
strain_gradient_plate_2d_o6,point_044,1000.0,0.1,1.856652855873108,1.1888408660888672,0.21811340749263763,3.2961013317108154,857,149,70.06885514723935,403.77499336914326,1972.509765625,4984.68310546875,1.4856866389661565,1.856652855873108,1.5227468609809875
strain_gradient_plate_2d_o6,point_045,1000.0,1.0,1.620421051979065,1.1682294607162476,0.3326686918735504,3.5435240268707275,842,151,71.29266371866444,399.0876524653656,1972.509765625,4984.68310546875,1.375871945962544,1.620421051979065,1.3943252563476562
strain_gradient_plate_2d_o6,point_046,1000.0,10.0,0.6606489419937134,1.0031602382659912,0.3002786636352539,3.5696070194244385,853,150,70.41161968334548,401.67039949446917,1972.509765625,4984.68310546875,0.8140864512203778,1.0031602382659912,0.8319045901298523
