budget_seconds,candidate_id,candidate_index,completed_at,final_metrics_source,history_final_loss,history_final_rel_error,history_points,json_path,json_protocol_id,log_final_has_loss,log_final_has_rel_error,log_final_status,log_path,loss,method,method_name,rel_error,status,steps,task_id,weight_labels,weight_map,weights
60.0,point_015,15,2026-08-06T21:01:14.585819+00:00,text_log_final_line,0.003869038177136818,0.27223552284321,13,results/poly_d2_o4/points/point_015/real_tanh_autodiff.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_015/real_tanh_autodiff.log,0.003866659055389281,realad,real_tanh_autodiff,0.2709336675041285,complete,394,poly_d2_o4,"['1e-1', '1e-2']","{'w_Delta_u': 0.01, 'w_u': 0.1}","[0.1, 0.01]"
60.0,point_016,16,2026-08-06T21:02:17.441781+00:00,text_log_final_line,2.7748794765369415e-05,0.006759308676515864,13,results/poly_d2_o4/points/point_016/war.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_016/war.log,2.7716568566964076e-05,war,war,0.006797810586372248,complete,240,poly_d2_o4,"['1e-1', '1e-1']","{'w_Delta_u': 0.1, 'w_u': 0.1}","[0.1, 0.1]"
60.0,point_016,16,2026-08-06T21:03:20.419448+00:00,text_log_final_line,0.004828935299033658,0.1705133489664894,13,results/poly_d2_o4/points/point_016/real_tanh_autodiff.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_016/real_tanh_autodiff.log,0.004824882631044001,realad,real_tanh_autodiff,0.1698885519852643,complete,393,poly_d2_o4,"['1e-1', '1e-1']","{'w_Delta_u': 0.1, 'w_u': 0.1}","[0.1, 0.1]"
60.0,point_017,17,2026-08-06T21:04:23.554994+00:00,text_log_final_line,2.8460522980137283e-05,0.005471853226307175,13,results/poly_d2_o4/points/point_017/war.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_017/war.log,2.8427398434134156e-05,war,war,0.005591773212874354,complete,240,poly_d2_o4,"['1e-1', '1e+0']","{'w_Delta_u': 1.0, 'w_u': 0.1}","[0.1, 1.0]"
60.0,point_017,17,2026-08-06T21:05:26.283613+00:00,text_log_final_line,0.0013467762765524876,0.09512872306883717,13,results/poly_d2_o4/points/point_017/real_tanh_autodiff.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_017/real_tanh_autodiff.log,0.001344846337962567,realad,real_tanh_autodiff,0.0944726283601376,complete,393,poly_d2_o4,"['1e-1', '1e+0']","{'w_Delta_u': 1.0, 'w_u': 0.1}","[0.1, 1.0]"
60.0,point_018,18,2026-08-06T21:06:29.286178+00:00,text_log_final_line,5.3527690633895414e-05,0.011180727749506448,13,results/poly_d2_o4/points/point_018/war.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_018/war.log,5.3448002550791115e-05,war,war,0.011341342655126098,complete,240,poly_d2_o4,"['1e-1', '1e+1']","{'w_Delta_u': 10.0, 'w_u': 0.1}","[0.1, 10.0]"
60.0,point_018,18,2026-08-06T21:07:31.926695+00:00,text_log_final_line,0.001580716736618976,0.15281059113861684,13,results/poly_d2_o4/points/point_018/real_tanh_autodiff.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_018/real_tanh_autodiff.log,0.0015792964238123374,realad,real_tanh_autodiff,0.15219599301332815,complete,396,poly_d2_o4,"['1e-1', '1e+1']","{'w_Delta_u': 10.0, 'w_u': 0.1}","[0.1, 10.0]"
60.0,point_019,19,2026-08-06T21:08:34.673520+00:00,text_log_final_line,0.00038767510610236553,0.03510483959831949,13,results/poly_d2_o4/points/point_019/war.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_019/war.log,0.00038702051983014466,war,war,0.03519146218288109,complete,240,poly_d2_o4,"['1e-1', '1e+2']","{'w_Delta_u': 100.0, 'w_u': 0.1}","[0.1, 100.0]"
60.0,point_019,19,2026-08-06T21:09:37.511750+00:00,text_log_final_line,0.01177222855298752,0.591076316320713,13,results/poly_d2_o4/points/point_019/real_tanh_autodiff.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_019/real_tanh_autodiff.log,0.011742415486846862,realad,real_tanh_autodiff,0.5877211162356802,complete,395,poly_d2_o4,"['1e-1', '1e+2']","{'w_Delta_u': 100.0, 'w_u': 0.1}","[0.1, 100.0]"
60.0,point_020,20,2026-08-06T21:10:40.352715+00:00,text_log_final_line,0.011623447472405513,0.22787889163850478,13,results/poly_d2_o4/points/point_020/war.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_020/war.log,0.011516912774862205,war,war,0.22800247101232937,complete,240,poly_d2_o4,"['1e-1', '1e+3']","{'w_Delta_u': 1000.0, 'w_u': 0.1}","[0.1, 1000.0]"
